time,open,high,low,close,volume
2017-12-13,16650.01,17107.03,15497.69,16250.0,17136.7058582
2017-12-14,16245.02,16830.45,15852.69,16404.99,13409.52428786
2017-12-15,16404.99,17934.0,16337.19,17471.5,18998.38813709
2017-12-16,17477.98,19377.0,17269.99,19187.78,9761.22080853
2017-12-17,19187.78,19666.0,18465.0,18953.0,9749.24915462
2017-12-18,18953.0,19220.0,17835.2,18940.57,14678.94144797
2017-12-19,18940.58,19160.79,16831.26,17700.0,21528.13766503
2017-12-20,17700.0,17950.0,15343.04,16466.98,31172.2288067
2017-12-21,16466.98,17281.17,15005.0,15600.01,20377.86043859
2017-12-22,15600.0,15795.61,11159.93,14009.79,57444.88580326
2017-12-23,13980.0,15756.22,13496.48,14619.0,21786.4086642
2017-12-24,14619.0,14619.1,12488.0,14157.87,18519.48932254
2017-12-25,14107.87,14650.0,13210.0,13911.28,11564.54433309
2017-12-26,13925.5,16147.87,13746.95,15764.44,15051.16401761
2017-12-27,15764.45,16480.52,14484.0,15364.93,15643.75488215
2017-12-28,15390.05,15474.19,13500.0,14470.07,16557.21732271
2017-12-29,14436.99,15111.0,13998.0,14340.0,13505.70299216
2017-12-30,14351.0,14463.28,12050.0,12640.0,21749.67444609
2017-12-31,12640.0,14296.06,12491.21,13880.0,11583.41864698
2018-01-01,13880.0,13941.75,12801.38,13443.41,7688.0306846
2018-01-02,13394.2,15257.53,12910.58,14678.94,16299.66930279
2018-01-03,14670.96,15500.0,14546.28,15155.62,12275.00119668
2018-01-04,15155.62,15430.27,14192.37,15143.67,15004.01859256
2018-01-05,15143.67,17200.0,14810.0,16928.0,16248.91467956
2018-01-06,16927.99,17234.99,16220.0,17149.67,9501.01675546
2018-01-07,17142.43,17149.97,15707.16,16124.02,8632.81384337
2018-01-08,16173.98,16300.0,13900.0,14999.99,16676.34994239
2018-01-09,14999.99,15367.18,14123.97,14403.51,13913.52469368
2018-01-10,14403.51,14900.0,13412.0,14890.02,18479.01253046
2018-01-11,14899.99,14973.07,12800.0,13243.83,19630.07517112
2018-01-12,13249.99,14152.19,12807.27,13781.41,13433.08481363
2018-01-13,13829.28,14619.1,13789.42,14197.78,7488.98701847
2018-01-14,14197.78,14365.81,13072.22,13647.99,7588.63558972
2018-01-15,13647.99,14394.36,13429.25,13607.04,9444.63530824
2018-01-16,13581.66,13607.04,10162.0,11386.34,38789.88308789
2018-01-17,11393.97,11794.07,9222.0,11191.35,41356.1897379
2018-01-18,11199.0,12146.0,10693.0,11247.57,22195.26202056
2018-01-19,11290.9,12050.39,11025.18,11552.0,13203.25567513
2018-01-20,11560.82,13052.12,11515.94,12775.99,10324.05733414
2018-01-21,12782.99,12791.88,11100.0,11558.87,11596.44128787
2018-01-22,11558.87,11910.78,10028.41,10808.99,17067.72925582
2018-01-23,10810.0,11409.87,9927.54,10851.82,17250.17614645
2018-01-24,10848.99,11500.0,10488.13,11400.96,11646.79059794
2018-01-25,11400.98,11741.82,10868.57,11155.54,10212.92183381
2018-01-26,11140.01,11635.0,10263.32,11092.95,15074.66641243
2018-01-27,11093.74,11630.47,10815.84,11446.54,10309.80746248
2018-01-28,11446.54,11989.15,11360.52,11685.58,9956.09249576
2018-01-29,11685.58,11820.01,10991.0,11162.62,9996.35689848
2018-01-30,11162.62,11222.36,9731.2,9971.0,21082.19252764
2018-01-31,9971.0,10324.0,9514.96,10149.0,12743.50947059
2018-02-01,10148.99,10187.56,8455.0,8998.99,26356.58883931
2018-02-02,9010.87,9096.79,7625.25,8838.83,44406.01982931
2018-02-03,8838.29,9491.2,8170.71,9225.86,16208.37411342
2018-02-04,9225.31,9350.09,7825.0,8191.0,19110.67246079
2018-02-05,8190.78,8335.56,6600.0,6874.27,46544.42880431
2018-02-06,6878.65,8150.0,5920.72,7737.37,70961.36965826
2018-02-07,7737.26,8649.0,7213.8,7588.01,32640.89253754
2018-02-08,7588.01,8644.36,7565.5,8259.76,22746.39118112
2018-02-09,8259.42,8779.62,7753.32,8693.98,18418.11709042
2018-02-10,8693.98,9090.8,8170.86,8560.0,14670.55870203
2018-02-11,8560.0,8560.0,7820.0,8067.0,12711.7858457
2018-02-12,8077.25,8995.0,8067.0,8899.0,15071.04029684
2018-02-13,8891.2,8951.89,8360.13,8522.99,11374.52415254
2018-02-14,8504.57,9515.0,8504.57,9490.98,17468.73886593
2018-02-15,9490.98,10234.0,9350.0,10018.0,21036.3373175
2018-02-16,10011.3,10300.0,9707.51,10196.0,11857.64277513
2018-02-17,10203.14,11135.83,10053.5,11101.0,14511.16913676
2018-02-18,11101.0,11300.0,10153.15,10421.06,17623.07943135
2018-02-19,10433.68,11262.48,10307.51,11173.0,11698.25622611
2018-02-20,11159.12,11780.0,11080.37,11233.41,15880.9090398
2018-02-21,11233.42,11275.74,10256.0,10449.4,19959.67715652
2018-02-22,10446.79,10935.0,9731.2,9843.34,20204.69095384
2018-02-23,9843.33,10405.3,9600.0,10166.1,16044.03930333
2018-02-24,10135.2,10540.63,9373.48,9689.99,13972.71472351
2018-02-25,9688.26,9883.41,9260.0,9590.04,11037.17695269
2018-02-26,9595.99,10461.97,9376.34,10324.7,16156.80505618
2018-02-27,10329.99,10850.0,10150.0,10566.3,10408.47993775
2018-02-28,10572.49,11064.75,10255.07,10314.9,10490.74905816
2018-03-01,10314.99,11090.0,10223.41,10903.13,9481.66514611
2018-03-02,10917.37,11175.0,10774.01,11029.99,8329.09790086
2018-03-03,11032.81,11503.24,11022.85,11445.0,7786.26753951
2018-03-04,11445.0,11511.0,11054.91,11463.27,6831.63070279
2018-03-05,11479.68,11688.0,11383.66,11419.24,9933.67623336
2018-03-06,11417.39,11420.01,10560.19,10723.76,14734.41949313
2018-03-07,10723.01,10911.78,9450.0,9913.03,26116.51184803
2018-03-08,9904.52,10150.0,9078.95,9285.32,22522.42746991
2018-03-09,9293.06,9420.39,8366.0,9230.0,29014.16684454
2018-03-10,9228.83,9514.96,8697.0,8791.47,12886.58857926
2018-03-11,8795.04,9768.37,8450.0,9535.04,16407.54237557
